ntd_id,service_area_sq_miles,service_area_pop
20933,222,508932
A0029,,
70116,,
31044,,
80254,2882,2401378
10048,664,851535
30035,27,57416
55401,,
90010,103,606911
50385,,
31026,,
30070,348,482204
40155,600,273425
90172,,
40947,,
00304,,
50220,,
50028,29,112910
80012,20,64735
70062,,
44969,,
40104,223,167352
66341,189,130674
40174,54,37679
50262,,
20100,2967,11170342
60247,,
50421,,
60093,73,83469
55422,,
66273,,
55555,,
90302,2953,2181433
04R04,,
20008,321,8258035
50226,,
30044,1028,364663
70146,,
70227,,
70245,,
90164,28,209877
00325,,
41139,,
55452,,
80284,,
90121,1200,349050
91070,,
90209,47,500031
55537,,
A0023,,
40031,1798,818330
60003,,
80115,,
60266,,
91037,28,41348
60207,,
55337,,
41112,,
55446,,
40161,422,266620
41125,,
44979,,
50177,28,50474
80193,,
90227,12,35975
90027,154,591531
10181,25,51875
90268,15,191126
70194,,
80153,,
50316,,
60056,698,2530800
55437,,
40928,1590,253507
40988,,
50056,105,240110
40905,,
40080,54,55442
41171,,
90043,11,12997
80179,,
90298,4,13987
40192,65,159942
50269,,
88298,,
11164,,
91097,,
70178,,
41076,,
40130,70,153691
41104,,
40983,,
88239,,
50483,,
90035,77,374827
50274,,
50553,91,95382
70208,,
50148,700,159874
10134,7935,171467
10007,384,127500
44929,17,182760
40240,2,10587
50543,36,155000
50001,117,281797
00031,,
55382,,
70010,616,534049
00046,80,73800
50047,46,131416
30147,,
70043,36,43228
00415,1664,732500
50457,,
55518,,
40186,62,152769
30088,458,170102
55370,,
20163,250,527906
50441,,
10122,1151,2833139
00286,,
20214,101,32027
00456,,
20194,,
40009,95,164400
30987,,
90061,813,160271
20223,1187,332641
55604,,
10055,456,531314
40145,30,16053
00024,143,457472
55318,,
70046,78,116830
50292,,
00385,,
00271,,
60227,74,51308
00422,,
40181,324,260754
70009,26,101724
A0003,4632,10287086
80161,,
40049,37,61709
88215,,
80132,,
00040,1089,3385200
50099,28,82610
60208,,
60018,249,511352
50531,40,27997
00313,,
50363,,
40936,,
20977,,
80201,,
80233,,
60121,,
05R04,,
40223,658,329403
91009,,
30093,46,82286
22938,,
99464,,
41090,773,628594
09R06,,
55633,,
55252,,
00461,,
20002,474,802663
50285,,
90146,327,1515836
90223,190,1578938
60100,306,97332
30205,251,321113
80184,,
80258,,
60164,0,0
88305,,
40269,39,26161
40228,524,1163701
90214,13,67233
50525,402,356650
70277,717,229033
99286,,
20926,,
91120,,
00319,,
10175,,
50005,130,363017
99463,,
60140,,
60025,28,59659
50207,36,42663
31031,,
55397,,
50406,504,167762
60275,2483,716403
55598,,
55323,1067,476438
30121,,
70113,,
90079,1120,474031
30015,126,238954
40198,23,38165
40279,73,40000
55458,,
70085,,
44975,,
20967,407,981771
55632,,
55559,,
70087,,
22953,,
50039,816,189591
55358,,
41154,,
41084,,
70269,,
70125,,
40100,4049,106512
77086,,
31048,,
50024,331,430591
70123,,
50343,,
88283,,
77085,,
70253,,
30075,1948,1031890
44939,,
80275,,
50186,67,113532
90307,18,42150
55335,,
50324,,
70141,,
66334,,
50200,72,118747
40027,3840,4052996
20957,,
60086,65,86209
40217,512,153649
10169,,
50546,15,33866
41008,,
91029,3484,27335
41058,,
90197,20,93000
10096,29,55500
04R08,,
41187,,
50338,,
50280,304,70002
70168,,
50274,,
60118,90,98103
30011,25,69608
50565,54,55772
40073,1248,233424
70235,184,236373
30115,,
40014,80,124940
41168,,
80287,,
50093,405,100866
50510,,
60186,981,384304
40257,25,111954
70053,1836,133834
99394,,
44955,,
66337,,
55530,,
88140,3563,8645
66308,,
50169,,
55659,,
55541,,
50157,467,394803
10155,,
80107,10,40948
31012,,
40977,,
91092,73,150242
50501,,
55567,,
41066,,
60143,,
90246,8,20330
55579,,
00411,,
30190,,
A0013,6900,7100000
99406,,
50248,,
80007,39,113460
50298,,
44926,,
90013,346,1903198
41136,,
41196,,
90272,15,22822
60167,,
50060,41,136289
55664,,
40044,135,205764
41019,,
20188,244,7706403
90254,6,79190
50453,,
00010,,
50560,2,14000
90256,17,107337
50365,,
41177,,
00450,,
80303,17,47759
55377,,
50507,,
41050,216,143696
20145,152,105602
60013,39,57755
90290,25,18261
90149,40,54379
00095,,
44950,,
90288,11,62942
55433,,
11236,,
99448,,
88226,,
00426,,
30137,,
00391,,
40252,35,66223
30177,1433,537169
55522,,
40138,220,935454
90161,18,66432
20210,461,510981
44913,75,9014
70198,,
22959,,
41029,,
40234,40,79650
50332,,
00336,,
10174,9614,643000
50540,20,10000
20983,,
10003,664,2682227
80224,,
50447,,
91088,,
55391,,
40274,8,32000
50249,,
44976,,
99468,,
41085,,
41157,49,30858
60211,,
22945,,
50281,,
00364,,
60159,,
60128,,
04R09,,
55361,,
70267,,
11140,,
50201,304,78168
40956,,
00298,,
30078,833,1614197
40094,149,701366
55660,,
88299,,
99322,,
50009,25,66816
55455,,
00457,,
50410,,
30051,285,1062061
31035,8426,395300
99459,,
40915,,
40002,104,192648
80167,414,749350
41149,,
20998,,
50364,,
70251,,
80218,,
66182,,
31002,,
50352,,
60257,,
70108,,
70162,,
30025,145,214437
55642,,
30997,,
50557,38,107149
55413,,
22946,,
90089,390,478152
60120,,
55586,,
55564,,
70073,,
50043,236,179810
77091,,
66328,,
60235,,
50394,,
88287,,
41065,,
50036,608,329010
30131,154,94728
66224,,
90217,21,83897
60026,31,47906
55346,,
55311,3,21692
80253,,
90182,28,4336475
31045,,
41099,,
70258,,
44971,,
30071,16,159200
55491,,
03R02,,
40023,25,206303
91053,,
00317,,
50358,,
30201,81,585708
40209,392,54446
55605,,
50241,,
70216,,
80296,,
20165,27,16953
41199,572,358704
31008,,
55548,,
50161,235,91503
41038,,
80206,,
70002,237,656462
50561,1,10644
41180,,
41024,,
40018,269,715885
30007,43,132259
44965,,
50431,,
50132,14,27000
88164,,
88225,,
50208,516,83494
90238,50,53041
50399,,
40063,1015,653703
70242,,
50496,,
50506,,
99364,,
50405,,
50308,,
80269,452,178000
99424,36,228251
90039,43,529532
50164,252,76755
70049,2185,564324
A0018,,
80121,,
55614,,
50090,72,73140
44943,,
31017,,
55373,,
60173,,
50522,153,94296
99437,,
70165,,
80003,45,173588
50020,25,58662
60114,981,464887
90017,51,174890
80235,13,57494
41130,,
41115,,
20958,114,14827
41023,,
00432,,
40929,,
80298,51,141400
60208,,
80285,2500,2991231
40040,1807,1285641
90001,129,408550
55572,,
00016,31,61598
60134,454,604068
00374,,
60189,,
41044,,
91110,,
60009,59,254042
30096,1031,181696
50371,,
99453,,
91023,,
60256,11100,117142
80263,,
55234,,
90259,9,49578
50118,3947,8615017
55429,,
55434,,
60181,,
00051,20,22397
40131,500,167609
70202,,
70018,26,75671
20075,16,159726
91007,,
22966,,
30165,,
55527,,
50327,,
55326,,
80018,,
50491,,
00379,,
50255,,
90155,30,102526
90999,30,42660
50379,,
00291,,
55665,,
00373,234,151487
11153,,
07R01,,
60196,791,137048
91066,,
50234,,
00330,23,37000
08R04,,
50031,1074,3424477
40151,42,38486
00003,292,575963
70116,,
55591,,
41165,,
40961,,
50108,35,66311
10017,317,770559
90093,100,182152
90265,10,201889
88282,,
91014,,
30990,28,65282
55551,,
11246,9616,647064
70120,,
40169,392,817550
01R02,,
60241,,
22978,,
10147,,
55407,,
99474,,
40943,792,216000
30057,2092,3554425
50534,36,98246
31021,,
60261,,
40112,77,320967
55426,,
55650,,
41121,,
66158,0,0
90315,22,90706
44986,,
50194,281,53448
20178,350,175883
41094,,
80016,69,119423
50415,,
30083,438,1150833
41144,,
80142,,
50014,,
31040,,
80190,,
80152,,
91074,,
55366,,
66267,,
50476,,
70134,,
41083,,
60040,110,125182
44983,,
90171,89,294090
70100,,
55315,,
30036,38,85755
40984,,
90213,14,58489
50012,289,744901
40124,36,48761
40156,222,88300
30124,,
77078,,
60203,,
80171,,
88216,,
31028,,
40036,668,292198
40278,12,21613
55448,,
40948,,
A0028,,
66345,,
00436,,
70152,,
70035,135,384054
40923,,
50183,16,34627
60072,3253,467570
10128,116,238853
44947,,
90293,16,110212
55350,,
20200,222,508932
60208,,
40999,557,156746
40087,93,283506
55442,,
50468,,
50141,3,92477
30196,,
55532,,
80160,,
20215,17,25290
90233,78,203881
70079,903,195413
30003,14,39979
44958,,
55521,,
70223,,
20226,776,3658455
80126,,
A0022,380,282013
55387,,
55411,,
60151,,
88293,,
41184,71,97497
70182,,
70205,,
60229,0,0
70045,613,152854
90022,37,637365
90281,5,66228
50051,74,134333
40191,930,142404
00423,,
50436,,
00041,266,352701
50176,19,64769
00401,,
90005,,
55513,,
10015,19,46052
50518,83,132424
60108,1703,4888913
00058,11,101220
40233,23,41645
00416,5,29260
40078,210,776743
10064,843,603790
00239,,
90044,11,56697
60222,,
50212,51,42803
50568,5,14000
90299,2596,738668
30108,346,102383
00441,,
40005,45,95053
10121,,
00020,396,254183
55617,,
20939,,
A0011,1074,3424477
50297,,
88194,,
00403,,
80106,56,143986
55331,,
20082,372,8804190
40055,33,27854
70189,,
30155,,
30122,,
44970,,
40185,758,190769
30089,293,105822
40921,,
41009,,
90291,8,99578
20213,,
41051,,
40010,45,82653
00454,,
60094,42,91247
20187,2,41857
60249,,
99449,,
70138,26,74950
40054,44,73337
60019,235,661629
00025,78,309881
55314,,
55556,,
50319,,
00057,78,156297
91071,,
91069,,
40218,,
44932,12,72372
88200,,
90201,22,79203
99434,,
70099,,
40123,27,45369
55319,,
80271,,
80129,,
55519,,
55354,,
60111,990,982474
90229,1719,148614
60208,,
88134,,
90003,80,867725
50318,,
40074,747,584067
40261,8,36839
40193,37,53107
30114,,
40028,820,840698
30116,,
10112,14,26840
50502,,
91098,,
40989,,
50339,,
00143,,
00354,,
55568,,
55414,,
80135,,
90279,18,198052
60160,,
50484,,
91114,,
44931,,
10069,53,265612
01R01,,
90257,13,22928
50149,90,176300
50059,175,167405
30069,,
50442,,
99292,,
10006,289,308614
70011,26,60140
00030,,
20201,678,154152
31001,,
50370,,
70057,5,50580
00287,,
20160,89,324278
44951,,
50458,,
00015,,
70105,,
55558,,
55374,,
20940,,
40959,,
20113,298,674800
00103,,
70133,50155,3698562
30107,12,60547
60224,,
70269,,
55420,,
10149,206,73078
70224,,
A0005,28,209877
50171,19,49167
70246,,
50293,,
50227,,
30178,,
40144,425,203136
00397,,
90303,2554,277350
40030,106,199300
55676,,
22958,,
55336,,
55449,,
41127,,
41188,,
50103,499,254302
60204,,
50253,,
00064,25,47390
80196,,
91010,,
91004,,
20975,1124,181670
60259,,
41172,,
10182,10,24237
90269,25,23159
70064,,
55534,,
41170,,
06R05,,
80221,,
60048,549,1387423
40941,,
88294,,
40167,78,145700
00442,,
80173,,
50154,2785,2849712
40021,17,84844
50413,813,117539
80255,,
40976,,
55339,,
50057,46,120378
90009,97,764442
70044,15,94930
80006,2342,3098079
70260,,
50275,,
11165,,
55380,,
30055,173,96432
00307,,
00414,,
31038,,
80304,,
40110,232,404900
41017,,
30164,,
50022,238,429500
77087,,
66176,,
80009,70,76955
70250,,
88176,,
00449,,
50038,120,237932
90285,16,37636
66343,39,68580
40913,,
20193,322,302295
90235,,
00430,,
40199,28,35806
00342,,
31047,,
88227,,
55661,,
50344,,
50188,,
80259,,
04R03,,
70047,152,167046
90165,167,415154
70143,,
66218,,
10053,93,60184
70126,,
80116,,
90136,503,2429968
80162,,
60038,49,249750
40140,1997,404310
90159,20,64925
80170,,
44907,,
50547,6,81004
55582,,
41057,,
20209,302,324194
91038,,
00303,,
50490,,
A0024,,
41113,,
40058,32,37713
50274,,
66283,175,246198
20085,179,300173
70186,,
50562,5,23604
41030,,
41037,,
70215,,
60115,1855,167246
70171,,
50446,,
55258,,
70233,,
05R05,,
50511,,
20003,706,198963
20947,,
00297,4295,256643
30094,17,53375
00008,376,1512100
55436,,
90222,9189,1080300
44956,,
08R05,,
66338,,
99382,,
55540,,
40060,43,51084
10156,,
22980,,
40270,135,227942
00047,14,67306
31011,,
41106,,
55574,,
20925,,
99445,,
91094,,
00320,,
30192,511,50380
10135,,
44928,,
80109,461,2887496
10049,197,451486
55400,,
A0014,,
01R06,,
50544,32,152934
30149,,
99462,,
50301,,
50386,,
70109,,
60165,,
50221,,
40241,30,141191
50002,62,181036
40280,3,34459
55372,,
70086,,
20999,,
99262,,
40175,179,686461
70088,,
20143,47,31985
60012,99,197594
50422,,
22954,,
60215,,
91107,,
41155,,
90151,2291,8341002
30987,,
90309,6,29806
40101,40,37013
50263,,
